Run,Success Rate (%),Success Count,Total Bytes
1,87.50,35,40
2,92.50,37,40
3,97.50,39,40
4,100.00,40,40
5,52.50,21,40
6,100.00,40,40
7,52.50,21,40
8,50.00,20,40
9,35.00,14,40
10,20.00,8,40
11,87.50,35,40
12,100.00,40,40
13,97.50,39,40
14,97.50,39,40
15,45.00,18,40
16,60.00,24,40
17,92.50,37,40
18,42.50,17,40
19,90.00,36,40
20,50.00,20,40
21,30.00,12,40
22,77.50,31,40
23,85.00,34,40
24,95.00,38,40
25,95.00,38,40
26,92.50,37,40
27,85.00,34,40
28,82.50,33,40
29,5.00,2,40
30,90.00,36,40
31,17.50,7,40
32,82.50,33,40
33,57.50,23,40
34,92.50,37,40
35,92.50,37,40
36,92.50,37,40
37,65.00,26,40
38,92.50,37,40
39,80.00,32,40
40,82.50,33,40
41,45.00,18,40
42,97.50,39,40
43,97.50,39,40
44,52.50,21,40
45,97.50,39,40
46,75.00,30,40
47,100.00,40,40
48,90.00,36,40
49,30.00,12,40
50,15.00,6,40
51,20.00,8,40
52,97.50,39,40
53,22.50,9,40
54,87.50,35,40
55,70.00,28,40
56,100.00,40,40
57,60.00,24,40
58,82.50,33,40
59,72.50,29,40
60,100.00,40,40
61,30.00,12,40
62,82.50,33,40
63,37.50,15,40
64,90.00,36,40
65,75.00,30,40
66,67.50,27,40
67,32.50,13,40
68,100.00,40,40
69,70.00,28,40
70,97.50,39,40
71,52.50,21,40
72,65.00,26,40
73,47.50,19,40
74,62.50,25,40
75,72.50,29,40
76,80.00,32,40
77,75.00,30,40
78,87.50,35,40
79,100.00,40,40
80,10.00,4,40
81,62.50,25,40
82,25.00,10,40
83,80.00,32,40
84,95.00,38,40
85,95.00,38,40
86,100.00,40,40
87,57.50,23,40
88,97.50,39,40
89,72.50,29,40
90,25.00,10,40
91,85.00,34,40
92,20.00,8,40
93,100.00,40,40
94,75.00,30,40
95,92.50,37,40
96,17.50,7,40
97,62.50,25,40
