Run,Success Rate (%),Success Count,Total Bytes
1,95.00,38,40
2,82.50,33,40
3,75.00,30,40
4,50.00,20,40
5,92.50,37,40
6,62.50,25,40
7,90.00,36,40
8,30.00,12,40
9,50.00,20,40
10,70.00,28,40
11,40.00,16,40
12,97.50,39,40
13,27.50,11,40
14,42.50,17,40
15,27.50,11,40
16,27.50,11,40
17,77.50,31,40
18,97.50,39,40
19,95.00,38,40
20,87.50,35,40
21,52.50,21,40
22,95.00,38,40
23,47.50,19,40
24,77.50,31,40
25,67.50,27,40
26,82.50,33,40
27,12.50,5,40
28,90.00,36,40
29,72.50,29,40
30,82.50,33,40
31,97.50,39,40
32,80.00,32,40
33,87.50,35,40
34,40.00,16,40
35,100.00,40,40
36,40.00,16,40
37,97.50,39,40
38,77.50,31,40
39,97.50,39,40
40,92.50,37,40
41,20.00,8,40
42,37.50,15,40
43,62.50,25,40
44,72.50,29,40
45,70.00,28,40
46,85.00,34,40
47,15.00,6,40
48,57.50,23,40
49,80.00,32,40
50,70.00,28,40
51,95.00,38,40
52,100.00,40,40
53,20.00,8,40
54,82.50,33,40
55,62.50,25,40
56,67.50,27,40
57,77.50,31,40
58,75.00,30,40
59,25.00,10,40
60,97.50,39,40
61,82.50,33,40
62,30.00,12,40
63,80.00,32,40
64,85.00,34,40
65,67.50,27,40
66,92.50,37,40
67,37.50,15,40
68,95.00,38,40
69,72.50,29,40
70,87.50,35,40
71,40.00,16,40
72,67.50,27,40
73,90.00,36,40
74,30.00,12,40
75,57.50,23,40
76,37.50,15,40
77,80.00,32,40
78,87.50,35,40
79,82.50,33,40
80,45.00,18,40
81,97.50,39,40
82,97.50,39,40
83,87.50,35,40
84,77.50,31,40
85,90.00,36,40
86,32.50,13,40
87,30.00,12,40
88,75.00,30,40
89,92.50,37,40
90,97.50,39,40
91,55.00,22,40
92,85.00,34,40
93,90.00,36,40
94,95.00,38,40
95,100.00,40,40
96,67.50,27,40
97,35.00,14,40
98,45.00,18,40
99,60.00,24,40
100,65.00,26,40
