Run,Success Rate (%),Success Count,Total Bytes
1,75.00,30,40
2,95.00,38,40
3,25.00,10,40
4,67.50,27,40
5,60.00,24,40
6,92.50,37,40
7,75.00,30,40
8,32.50,13,40
9,92.50,37,40
10,92.50,37,40
11,82.50,33,40
12,65.00,26,40
13,17.50,7,40
14,85.00,34,40
15,42.50,17,40
16,30.00,12,40
17,80.00,32,40
18,85.00,34,40
19,20.00,8,40
20,77.50,31,40
21,92.50,37,40
22,20.00,8,40
23,20.00,8,40
24,97.50,39,40
25,37.50,15,40
26,15.00,6,40
27,92.50,37,40
28,27.50,11,40
29,30.00,12,40
30,50.00,20,40
31,100.00,40,40
32,82.50,33,40
33,90.00,36,40
34,77.50,31,40
35,87.50,35,40
36,25.00,10,40
37,17.50,7,40
38,75.00,30,40
39,92.50,37,40
40,92.50,37,40
41,25.00,10,40
42,27.50,11,40
43,97.50,39,40
44,22.50,9,40
45,25.00,10,40
46,95.00,38,40
47,40.00,16,40
48,75.00,30,40
49,97.50,39,40
50,25.00,10,40
51,97.50,39,40
52,77.50,31,40
53,95.00,38,40
54,75.00,30,40
55,97.50,39,40
56,97.50,39,40
57,62.50,25,40
58,92.50,37,40
59,35.00,14,40
60,95.00,38,40
61,95.00,38,40
62,22.50,9,40
63,60.00,24,40
64,72.50,29,40
65,57.50,23,40
66,87.50,35,40
67,75.00,30,40
68,35.00,14,40
69,67.50,27,40
70,82.50,33,40
71,90.00,36,40
72,95.00,38,40
73,50.00,20,40
74,97.50,39,40
75,20.00,8,40
76,55.00,22,40
77,50.00,20,40
78,35.00,14,40
79,15.00,6,40
80,22.50,9,40
81,85.00,34,40
82,97.50,39,40
83,82.50,33,40
84,27.50,11,40
85,80.00,32,40
86,100.00,40,40
87,30.00,12,40
88,82.50,33,40
89,95.00,38,40
90,80.00,32,40
91,62.50,25,40
92,42.50,17,40
93,80.00,32,40
94,65.00,26,40
95,30.00,12,40
96,12.50,5,40
97,97.50,39,40
98,97.50,39,40
99,85.00,34,40
100,97.50,39,40
101,90.00,36,40
102,80.00,32,40
103,92.50,37,40
104,95.00,38,40
105,97.50,39,40
106,67.50,27,40
107,65.00,26,40
108,17.50,7,40
109,87.50,35,40
110,47.50,19,40
111,82.50,33,40
112,90.00,36,40
113,60.00,24,40
114,80.00,32,40
115,67.50,27,40
116,97.50,39,40
117,67.50,27,40
118,97.50,39,40
119,92.50,37,40
120,65.00,26,40
121,97.50,39,40
122,40.00,16,40
123,50.00,20,40
124,17.50,7,40
125,62.50,25,40
126,95.00,38,40
127,50.00,20,40
128,77.50,31,40
129,52.50,21,40
130,55.00,22,40
131,22.50,9,40
132,100.00,40,40
133,20.00,8,40
134,35.00,14,40
135,87.50,35,40
136,80.00,32,40
137,20.00,8,40
138,87.50,35,40
139,30.00,12,40
140,87.50,35,40
141,95.00,38,40
142,95.00,38,40
143,20.00,8,40
144,87.50,35,40
145,17.50,7,40
146,77.50,31,40
147,62.50,25,40
148,85.00,34,40
149,90.00,36,40
150,72.50,29,40
151,32.50,13,40
152,80.00,32,40
153,75.00,30,40
154,80.00,32,40
155,92.50,37,40
156,65.00,26,40
157,95.00,38,40
158,77.50,31,40
159,80.00,32,40
160,92.50,37,40
161,97.50,39,40
162,100.00,40,40
163,62.50,25,40
164,87.50,35,40
165,90.00,36,40
166,82.50,33,40
167,85.00,34,40
168,57.50,23,40
169,60.00,24,40
170,45.00,18,40
171,95.00,38,40
172,45.00,18,40
173,60.00,24,40
174,82.50,33,40
175,55.00,22,40
176,75.00,30,40
177,37.50,15,40
178,100.00,40,40
179,27.50,11,40
180,57.50,23,40
181,90.00,36,40
182,30.00,12,40
183,55.00,22,40
184,82.50,33,40
185,27.50,11,40
186,25.00,10,40
187,25.00,10,40
188,37.50,15,40
189,15.00,6,40
190,60.00,24,40
191,100.00,40,40
192,82.50,33,40
193,30.00,12,40
194,20.00,8,40
195,87.50,35,40
196,80.00,32,40
197,45.00,18,40
198,82.50,33,40
199,90.00,36,40
200,100.00,40,40
201,17.50,7,40
202,90.00,36,40
203,25.00,10,40
